# time, value
0,13.87
1,13.862
2,14.481
3,14.174
4,14.836
5,15.941
6,14.847
7,14.791
8,15.172
9,16.723
10,15.84
11,15.813
12,15.71
13,14.186
14,11.996
15,14.018
16,14.55
17,14.071
18,14.04
19,11.594
20,12.929
21,10.417
22,14.971
23,14.88
24,15.743
25,15.055
26,13.96
27,12.46
28,7.119
29,7.801
30,7.391
31,13.618
32,14.838
33,14.875
34,13.805
35,14.537
36,11.785
37,15.096
38,14.419
39,11.351
40,14.737
41,14.17
42,14.284
43,13.118
44,14.337
45,14.357
46,14.903
47,15.22
48,14.813
49,14.157
50,15.174
51,13.483
52,11.591
53,13.057
54,10.581
55,12.937
56,13.596
57,12.934
58,12.709
59,13.486
60,12.437
61,13.455
62,14.038
63,14.142
64,13.378
65,14.407
66,14.734
67,15.09
68,13.634
69,14.18
70,15.149
71,14.633
72,14.809
73,15.936
74,15.872
75,17.325
76,15.59
77,15.617
78,14.111
79,13.767
80,15.586
81,12.902
82,13.09
83,13.38
84,15.494
85,13.46
86,11.64
87,11.759
88,15.032
89,13.576
90,13.184
91,13.681
92,15.888
93,16.411
94,15.645
95,17.361
96,14.836
97,16.429
98,15.745
99,15.937
100,15.922
101,17.678
102,15.683
103,16.313
104,16.561
105,15.477
106,15.438
107,16.449
108,16.973
109,17.294
110,16.775
111,16.528
112,18.343
113,15.922
114,15.953
115,16.896
116,16.347
117,16.358
118,16.273
119,17.94
120,16.426
121,16.751
122,16.636
123,16.908
124,16.736
125,17.044
126,16.602
127,15.942
128,17.087
129,18.115
130,19.116
131,18.827
132,18.888
133,18.96
134,18.666
135,18.576
136,18.742
137,18.648
138,18.548
139,18.701
140,18.818
141,20.452
142,19.059
143,18.896
144,18.885
145,21.341
146,21.394
147,19.993
148,20.037
149,19.899
150,20.255
151,20.245
152,20.473
153,20.583
154,20.427
155,20.283
156,21.805
157,20.386
158,20.631
159,20.71
160,20.789
161,20.572
162,20.285
163,20.377
164,20.322
165,20.797
166,20.766
167,20.987
168,21.371
169,22.83
170,20.879
171,20.812
172,20.702
173,20.718
174,20.592
175,23.965
176,23.582
177,23.531
178,24.985
179,23.898
180,20.867
181,20.921
182,21.032
183,21.043
184,20.663
185,20.672
186,22.133
187,22.199
188,20.868
189,20.423
190,20.053
191,20.551
192,20.169
193,20.116
194,20.331
195,20.09
196,19.321
197,19.238
198,21.471
199,19.389
200,21.003
201,17.797
202,19.689
203,17.783
204,17.64
205,17.739
206,18.195
207,17.369
208,17.441
209,17.409
210,17.689
211,17.306
212,17.187
213,17.193
214,17.411
215,17.186
216,18.199
217,18.663
218,18.972
219,19.162
220,19.169
221,19.396
222,20.611
223,19.083
224,19.291
225,21.11
226,23.027
227,21.28
228,21.592
229,23.141
230,21.282
231,22.432
232,20.317
233,20.129
234,20.009
235,23.103
236,23.317
237,22.938
238,22.88
239,22.767
240,17.434
241,17.362
242,17.652
243,18.86
244,18.972
245,18.631
246,20.388
247,18.674
248,18.871
249,18.61
250,18.549
251,18.635
252,18.291
253,18.198
254,18.31
255,18.444
256,18.334
257,17.76
258,18.884
259,17.441
260,17.109
261,16.784
262,16.718
263,16.787
264,13.704
265,13.698
266,17.246
267,15.372
268,15.205
269,15.271
270,15.281
271,15.397
272,15.134
273,15.16
274,15.445
275,15.306
276,15.2
277,15.191
278,15.138
279,15.025
280,14.917
281,14.865
282,13.559
283,13.404
284,13.423
285,13.613
286,13.588
287,13.639
288,15.169
289,13.772
290,13.4
291,13.474
292,13.456
293,13.356
294,13.165
295,13.167
296,13.197
297,13.052
298,12.853
299,12.863
300,12.92
301,12.802
302,12.922
303,12.9
304,13.037
305,12.709
306,12.822
307,12.82
308,12.844
309,12.717
310,14.209
311,12.656
312,12.872
313,12.827
314,12.802
315,12.782
316,12.758
317,12.92
318,12.801
319,12.741
320,13.017
321,12.828
322,12.963
323,12.77
324,12.717
325,14.288
326,12.759
327,12.959
328,12.697
329,12.838
330,12.756
331,12.614
332,12.637
333,12.773
334,12.707
335,13.162
336,12.705
337,12.705
338,12.595
339,12.695
340,12.766
341,12.715
342,12.839
343,12.729
344,12.695
345,12.561
346,12.582
347,12.635
348,12.769
349,12.693
350,12.875
351,12.644
352,12.695
353,12.52
354,12.635
355,14.505
356,12.797
357,12.913
358,12.93
359,12.617
360,12.801
361,12.942
362,12.967
363,14.765
364,13.053
365,13.157
366,12.881
367,14.735
368,12.918
369,12.895
370,12.838
371,12.913
372,12.993
373,12.735
374,12.78
375,12.779
376,15.192
377,12.725
378,12.624
379,13.034
380,12.628
381,12.801
382,12.784
383,12.975
384,12.848
385,12.756
386,12.899
387,13.007
388,12.853
389,12.741
390,12.887
391,16.265
392,12.77
393,12.742
394,13.042
395,14.5
396,12.852
397,12.725
398,12.83
399,14.773
400,12.829
401,13.166
402,13.543
403,14.285
404,14.127
405,15.867
406,14.241
407,14.31
408,14.273
409,14.868
410,14.441
411,14.501
412,14.198
413,14.89
414,14.733
415,14.792
416,15.061
417,14.903
418,13.468
419,13.348
420,13.321
421,13.532
422,13.377
423,13.429
424,13.673
425,13.639
426,13.474
427,15.015
428,13.386
429,13.515
430,13.411
431,13.714
432,13.638
433,13.284
434,13.28
435,15.167
436,13.365
437,13.266
438,13.718
439,13.579
440,13.625
441,13.578
442,14.84
443,16.101
444,16.552
445,16.348
446,16.66
447,18.318
448,16.467
449,16.325
450,16.495
451,16.379
452,16.547
453,16.638
454,16.425
455,16.509
456,16.342
457,17.99
458,16.587
459,18.45
460,16.751
461,16.681
462,16.451
463,16.706
464,18.309
465,16.35
466,16.479
467,16.53
468,18.383
469,16.367
470,16.597
471,20.267
472,16.348
473,16.355
474,16.405
475,16.691
476,16.322
477,16.383
478,18.344
479,18.306
480,16.333
481,16.247
482,16.327
483,18.52
484,16.279
485,16.136
486,16.211
487,18.011
488,16.152
489,16.155
490,16.849
491,16.237
492,16.315
493,16.204
494,16.326
495,16.432
496,18.334
497,16.478
498,16.874
499,16.494
500,16.404
501,16.324
502,18.036
503,16.447
504,16.532
505,16.795
506,18.428
507,16.509
508,18.427
509,16.438
510,16.449
511,16.377
512,17.756
513,17.743
514,17.364
515,17.33
516,17.297
517,18.82
518,17.278
519,17.388
520,17.366
521,17.207
522,17.209
