# time, value
0,500.79998779296875
1,498.8800048828125
2,502.7200012207031
3,512.9600219726562
4,506.8800048828125
5,500.79998779296875
6,497.9200134277344
7,493.760009765625
8,490.8800048828125
9,486.7200012207031
10,496.0
11,493.760009765625
12,500.79998779296875
13,491.8399963378906
14,489.9200134277344
15,491.8399963378906
16,501.760009765625
17,488.9599914550781
18,482.8800048828125
19,486.7200012207031
20,477.760009765625
21,486.7200012207031
22,493.760009765625
23,490.8800048828125
24,510.7200012207031
25,518.719970703125
26,507.8399963378906
27,498.8800048828125
28,507.8399963378906
29,505.9200134277344
30,499.8399963378906
31,506.8800048828125
32,502.7200012207031
33,514.8800048828125
34,506.8800048828125
35,517.760009765625
36,509.760009765625
37,512.9600219726562
38,515.8400268554688
39,512.9600219726562
40,528.9600219726562
41,514.8800048828125
42,509.760009765625
43,506.8800048828125
44,514.8800048828125
45,502.7200012207031
46,498.8800048828125
47,476.79998779296875
48,473.9200134277344
49,478.7200012207031
50,466.8800048828125
51,469.760009765625
52,472.9599914550781
53,472.0
54,466.8800048828125
55,459.8399963378906
56,464.0
57,469.760009765625
58,466.8800048828125
59,462.7200012207031
60,475.8399963378906
61,478.7200012207031
62,468.79998779296875
63,464.0
64,465.9200134277344
65,472.0
66,469.760009765625
67,472.0
68,461.760009765625
69,469.760009765625
70,475.8399963378906
71,464.0
72,459.8399963378906
73,466.8800048828125
74,462.7200012207031
75,458.8800048828125
76,469.760009765625
77,472.0
78,468.79998779296875
79,469.760009765625
80,461.760009765625
81,459.8399963378906
82,465.9200134277344
83,466.8800048828125
84,472.9599914550781
85,467.8399963378906
86,465.9200134277344
87,464.0
88,461.760009765625
89,459.8399963378906
90,458.8800048828125
91,456.9599914550781
92,470.7200012207031
93,473.9200134277344
94,465.9200134277344
95,474.8800048828125
96,472.9599914550781
97,475.8399963378906
98,472.0
99,464.0
100,466.8800048828125
101,462.7200012207031
102,465.9200134277344
103,467.8399963378906
104,475.8399963378906
105,464.9599914550781
106,472.9599914550781
107,473.9200134277344
108,470.7200012207031
109,465.9200134277344
110,464.0
111,464.9599914550781
112,469.760009765625
113,470.7200012207031
114,464.9599914550781
115,465.9200134277344
116,473.9200134277344
117,466.8800048828125
118,469.760009765625
119,468.79998779296875
120,472.9599914550781
121,474.8800048828125
122,473.9200134277344
123,468.79998779296875
124,466.8800048828125
125,464.0
126,474.8800048828125
127,475.8399963378906
128,466.8800048828125
129,472.9599914550781
130,476.79998779296875
131,480.0
132,468.79998779296875
133,472.9599914550781
134,476.79998779296875
135,464.9599914550781
136,465.9200134277344
137,472.9599914550781
138,467.8399963378906
139,472.0
140,475.8399963378906
141,464.0
142,464.9599914550781
143,465.9200134277344
144,469.760009765625
145,462.7200012207031
146,472.9599914550781
147,475.8399963378906
148,472.0
149,466.8800048828125
150,465.9200134277344
151,468.79998779296875
152,478.7200012207031
153,467.8399963378906
154,468.79998779296875
155,482.8800048828125
156,476.79998779296875
157,475.8399963378906
158,467.8399963378906
159,468.79998779296875
160,472.0
161,472.9599914550781
162,468.79998779296875
163,474.8800048828125
164,465.9200134277344
165,467.8399963378906
166,468.79998779296875
167,480.0
168,469.760009765625
169,468.79998779296875
170,477.760009765625
171,468.79998779296875
172,472.0
173,477.760009765625
174,480.0
175,472.0
176,469.760009765625
177,475.8399963378906
178,468.79998779296875
179,472.0
180,473.9200134277344
181,470.7200012207031
182,473.9200134277344
183,465.9200134277344
184,472.0
185,475.8399963378906
186,477.760009765625
187,474.8800048828125
188,468.79998779296875
