# time, value
0,22.599316
1,24.379258
2,20.284865
3,24.979043
4,20.151534
5,28.707961
6,25.751480
7,26.657339
8,28.976774
9,21.903899
10,24.194272
11,17.389665
12,24.744375
13,26.712829
14,19.267971
15,23.558414
16,25.588092
17,25.869062
18,28.137186
19,28.742227
20,23.963760
21,25.775405
22,19.164434
23,23.987499
24,26.455616
25,23.614217
26,22.830025
27,23.042222
28,28.604706
29,16.609753
30,28.011825
31,18.404178
32,20.954866
33,17.731570
34,26.682810
35,26.203550
36,26.392769
37,18.875176
38,27.499472
39,23.782250
40,19.831255
41,25.644512
42,27.389268
43,25.119019
44,29.394747
45,29.024864
46,23.481193
47,24.052705
48,18.023311
49,28.670418
50,26.871656
51,19.181720
52,26.831342
53,27.352709
54,16.881713
55,26.861038
56,29.178193
57,29.237905
58,27.095886
59,22.342956
60,17.092169
61,24.366523
62,25.637069
63,28.084182
64,22.363043
65,18.672188
66,15.789460
67,20.602735
68,14.233578
69,22.258392
70,17.707160
71,23.173519
72,22.935780
73,25.941330
74,22.996241
75,15.408630
76,22.310076
77,18.314341
78,14.264536
79,24.642998
80,14.395229
81,16.848524
82,15.028462
83,16.625371
84,18.470870
85,19.880468
86,18.131066
87,23.872474
88,15.638125
89,26.769492
90,26.361391
91,23.399018
92,20.017701
93,22.871907
94,14.600474
95,23.256375
96,21.627426
97,21.751775
98,23.031823
99,19.409302
100,24.127058
101,14.004842
102,19.843929
103,15.675364
104,24.495125
105,20.798559
106,16.537103
107,16.569055
108,22.560329
109,16.912848
110,18.064831
111,20.713224
112,22.340742
113,17.049634
114,19.462466
115,29.413760
116,19.233621
117,21.262606
118,21.041982
119,26.232889
120,17.446608
121,22.966118
122,19.219696
123,19.532445
124,26.278112
125,29.089861
126,28.863312
127,24.276475
128,18.989713
129,19.975359
130,17.055508
131,28.283537
132,20.582111
133,28.878382
134,16.434924
135,25.707400
136,20.023152
137,21.428844
138,18.325441
139,22.885174
140,16.840663
141,26.992215
142,17.927670
143,28.820499
144,27.016460
145,21.473813
146,27.768549
147,17.430126
148,28.919304
149,25.335260
150,28.886372
151,17.722925
152,26.019446
153,24.165750
154,23.439737
155,25.986798
156,24.360448
157,21.958689
158,20.622724
159,24.835425
160,21.323753
161,19.556286
162,16.797552
163,23.497632
164,17.227721
165,24.035911
166,21.735135
167,13.745983
168,21.907452
169,16.687325
170,14.314855
171,13.360632
172,18.381400
173,14.527842
174,14.739004
175,15.271318
176,20.264958
177,15.466008
178,23.165430
179,15.512268
180,21.818596
181,12.965603
182,20.864888
183,18.114173
184,13.569934
185,21.471493
186,23.732593
187,22.319489
188,16.752116
189,22.677219
190,25.614665
191,22.042099
192,23.540160
193,22.596530
194,22.592846
195,15.436864
196,21.312263
197,22.086459
198,24.096556
199,24.588386
200,24.960181
201,17.615255
202,19.884341
203,26.147270
204,26.674499
205,23.605561
206,24.470975
207,15.895153
208,13.746723
209,18.584440
210,19.623207
211,18.108259
212,17.426976
213,23.283606
214,15.195471
215,13.270090
216,12.304958
217,17.986295
218,21.979592
219,17.203678
220,19.615404
221,15.517982
222,21.431249
223,18.927933
224,22.651450
225,19.235075
226,18.856432
227,17.639349
228,13.135489
229,18.604839
230,18.231487
231,17.910233
232,25.796518
233,22.054091
234,17.399290
235,24.288486
236,15.284396
237,21.416995
238,19.093903
239,21.979686
240,17.068323
241,23.341695
242,18.450080
243,23.718262
244,15.791438
245,15.912096
246,19.908333
247,19.894184
248,21.078267
249,15.038731
250,22.827554
251,21.057522
252,11.299021
253,21.544295
254,17.836901
255,20.397355
256,21.798543
257,12.595748
258,20.647929
259,13.774391
260,13.528509
261,17.625126
262,20.091137
263,13.091301
264,16.306795
265,14.910397
266,18.537355
267,18.150395
268,21.024006
269,12.176581
270,14.470275
271,18.081454
272,14.553222
273,17.545877
274,22.861713
275,23.159206
276,15.919450
277,16.165897
278,18.156241
279,21.607455
280,15.022832
281,15.086757
282,13.366845
283,18.035029
284,19.778208
285,20.065831
286,17.540510
287,22.186008
288,16.097536
289,17.575966
290,14.426869
291,20.773834
292,13.870209
293,17.663878
294,19.139792
295,18.890349
296,13.348850
297,20.200768
298,21.556607
299,19.437295
300,17.687411
301,16.798091
302,11.703502
303,19.194859
304,14.671804
305,10.203491
306,19.108056
307,19.459642
308,13.274518
309,14.575803
310,12.207824
311,16.758819
312,19.544269
313,19.103740
314,13.780287
315,14.742783
316,13.393300
317,10.427669
318,16.072015
319,17.349870
320,11.474137
321,12.289384
322,14.029008
323,16.801308
324,12.175070
325,10.860813
326,16.017443
327,15.797474
328,10.764657
329,18.192997
330,13.155096
331,19.492700
332,17.251322
333,16.017830
334,14.790700
335,10.525225
336,15.725883
337,11.851938
338,17.147616
339,17.309463
