# time, value
0,0.501526
1,0.875531
2,0.620013
3,0.705358
4,0.702029
5,0.054005
6,0.154755
7,0.231557
8,0.296435
9,0.683002
10,0.969421
11,0.141469
12,0.707075
13,0.198666
14,0.572092
15,0.834511
16,0.088307
17,0.654299
18,0.096113
19,0.277986
20,0.911439
21,0.414459
22,0.282976
23,0.579292
24,0.206714
25,0.119104
26,0.972841
27,0.979469
28,0.124145
29,0.529588
30,0.681029
31,0.913070
32,0.647094
33,0.674190
34,0.968776
35,0.607026
36,0.445613
37,0.704009
38,0.148742
39,0.180833
40,0.896541
41,0.937446
42,0.474956
43,0.371282
44,0.040586
45,0.280263
46,0.879818
47,0.435089
48,0.717933
49,0.745707
50,0.781125
51,0.022483
52,0.175941
53,0.215773
54,0.764771
55,0.883794
56,0.790487
57,0.364938
58,0.525288
59,0.817274
60,0.698427
61,0.563893
62,0.609196
63,0.143271
64,0.499782
65,0.747948
66,0.502533
67,0.441783
68,0.736463
69,0.063840
70,0.713855
71,0.884207
72,0.503169
73,0.201024
74,0.413099
75,0.566236
76,0.137451
77,0.280528
78,0.138539
79,0.039551
80,0.813879
81,0.136199
82,0.485920
83,0.148397
84,0.744079
85,0.506472
86,0.774867
87,0.883101
88,0.871105
89,0.586879
90,0.121022
91,0.141140
92,0.707854
93,0.501079
94,0.817684
95,0.271453
96,0.323869
97,0.779233
98,0.423891
99,0.655019
100,0.274678
101,0.304840
102,0.994557
103,0.909450
104,0.944909
105,0.177778
106,0.814516
107,0.419643
108,0.866738
109,0.171135
110,0.732053
111,0.850509
112,0.583105
113,0.637335
114,0.523190
115,0.545897
116,0.452764
117,0.218205
118,0.981789
119,0.867393
120,0.881813
121,0.958869
122,0.010206
123,0.124275
124,0.914030
125,0.716355
126,0.547383
127,0.437105
128,0.750819
129,0.323311
130,0.372991
131,0.642626
132,0.556226
133,0.722647
134,0.136911
135,0.824790
136,0.245497
137,0.052833
138,0.567621
139,0.759642
140,0.056211
141,0.333988
142,0.163609
143,0.961450
144,0.060820
145,0.097173
146,0.939595
147,0.806233
148,0.295965
149,0.152200
150,0.428150
151,0.843028
152,0.169564
153,0.572695
154,0.366284
155,0.622482
156,0.997401
157,0.523055
158,0.846076
159,0.984335
160,0.677321
161,0.530184
162,0.616388
163,0.820883
164,0.190689
165,0.964937
166,0.064970
167,0.849122
168,0.312519
169,0.795882
170,0.590223
171,0.919959
172,0.442850
173,0.203581
174,0.702597
175,0.107802
176,0.255131
177,0.445210
178,0.633542
179,0.884803
180,0.770924
181,0.388819
182,0.402845
183,0.056199
184,0.306079
185,0.394456
186,0.893017
187,0.628026
188,0.921323
189,0.248676
190,0.210739
191,0.449377
192,0.051575
193,0.987292
194,0.199618
195,0.243834
196,0.922035
197,0.376635
198,0.402909
199,0.619249
200,0.861734
201,0.964884
202,0.370644
203,0.066166
204,0.801017
205,0.239741
206,0.642832
207,0.029496
208,0.599617
209,0.932163
210,0.093163
211,0.787697
212,0.774799
213,0.590303
214,0.496358
215,0.956079
216,0.083564
217,0.458136
218,0.433686
219,0.314784
220,0.098778
221,0.806651
222,0.886194
223,0.752759
224,0.713338
225,0.688348
226,0.447786
227,0.108659
228,0.043901
229,0.514689
230,0.433321
231,0.466441
232,0.403394
233,0.910146
234,0.686781
235,0.417922
236,0.419599
237,0.348167
238,0.972947
239,0.056223
240,0.570412
241,0.937412
242,0.617786
243,0.951448
244,0.787061
245,0.930073
246,0.624562
247,0.640305
248,0.002923
249,0.497357
250,0.106018
251,0.988236
252,0.737764
253,0.283725
254,0.691899
255,0.910647
256,0.780168
257,0.305873
258,0.503223
259,0.681544
260,0.448365
261,0.535319
262,0.949688
263,0.309087
264,0.206541
265,0.841290
266,0.857398
267,0.859672
268,0.043765
269,0.702996
270,0.013688
271,0.460541
272,0.763042
273,0.879346
274,0.274736
275,0.077043
276,0.811445
277,0.409278
278,0.293012
279,0.877983
280,0.839771
281,0.666851
282,0.730895
283,0.366848
284,0.063851
285,0.255427
286,0.556569
287,0.341180
288,0.790116
289,0.844132
290,0.224913
291,0.289061
292,0.180743
293,0.452794
294,0.013007
295,0.423798
296,0.203418
297,0.772152
298,0.473754
299,0.712645
300,0.323830
301,0.477130
302,0.507760
303,0.341779
304,0.218210
305,0.108303
306,0.317311
307,0.411098
308,0.845376
309,0.744655
310,0.756507
311,0.167209
312,0.591106
313,0.616120
314,0.790471
315,0.811581
316,0.300798
317,0.426106
318,0.982512
319,0.396079
320,0.735357
321,0.943215
322,0.622467
323,0.636216
324,0.210546
325,0.333170
326,0.419641
327,0.169090
328,0.583282
329,0.921839
330,0.485376
331,0.423612
332,0.061381
333,0.610066
334,0.958173
335,0.670963
336,0.286524
337,0.029906
338,0.934180
339,0.423518
340,0.574284
341,0.569906
342,0.511497
343,0.202610
344,0.571232
345,0.594439
346,0.968227
347,0.851944
348,0.758281
349,0.280351
350,0.434493
351,0.331750
352,0.306723
353,0.956694
354,0.318168
355,0.320266
356,0.267342
357,0.939714
358,0.520993
359,0.434894
360,0.554214
361,0.707847
362,0.934511
363,0.910835
364,0.702214
365,0.947342
366,0.243321
367,0.148790
